"team","win","is_home","Off_PC1","Off_PC2","Off_PC3","Def_PC1","Def_PC2","Def_PC3"
"味全龍",TRUE,TRUE,-0.183788262001737,0.507034717134388,-1.16507825951139,-1.50131560346417,0.486062326689462,0.0862561633708539
"樂天桃猿",FALSE,FALSE,-1.38142286038728,0.00763200406692763,0.0695506166665517,1.0451896031981,-1.36186593165005,1.90050133786731
"中信兄弟",TRUE,TRUE,1.08969022906949,1.14781598157227,-1.54023110775116,0.18714112690052,0.511654640378671,0.44456515713723
"台鋼雄鷹",FALSE,FALSE,-0.16543673484277,-0.411433208862674,-1.00308302319835,2.66652022573471,-0.883135648271246,1.720586322042
"台鋼雄鷹",FALSE,TRUE,-0.0368270334410665,0.54819424214677,1.10938128997666,0.632839192379417,0.465401469449509,-0.953796599663106
"統一7-ELEVEn獅",TRUE,FALSE,1.43688000218012,0.923444263419914,1.29977219324657,0.0159956128090372,-0.00485360252171618,-0.0459345351165237
"中信兄弟",TRUE,TRUE,4.95516126046442,-0.643442083220355,-3.2978314179683,-0.484151180821896,0.366099720293957,1.1941535602697
"樂天桃猿",FALSE,FALSE,-2.49956140740998,0.746568756686083,-0.0106520437737696,5.33956539092564,-0.334733015462189,-1.33669633900263
"味全龍",TRUE,TRUE,-2.52142940225144,-2.45026895397381,0.956520198536616,-1.4318508413918,0.191034974036844,1.12745376528755
"富邦悍將",FALSE,FALSE,-2.54589362458548,0.0743353845594073,0.298524608316079,-4.00453152482532,-2.22959197888201,-2.68007392397778
"台鋼雄鷹",TRUE,TRUE,2.03497632416899,-0.38645081646361,-0.44451201272301,-0.844526589403172,0.0461082289117829,2.03602450032581
"統一7-ELEVEn獅",FALSE,FALSE,-1.71293562068806,0.0650245253820535,-0.382303145166098,2.62597163792238,-1.59175890589895,0.36166055332213
"中信兄弟",FALSE,TRUE,1.20499568661319,-1.72063248909446,0.461503689052008,0.326746497730502,0.107322491731853,0.803153197967099
"樂天桃猿",TRUE,FALSE,1.93713662779506,-1.05402880767695,-0.186900515852003,-1.18087659332358,0.137590573010986,-1.09331436539002
"味全龍",FALSE,TRUE,-0.820301605738882,0.0780566616885974,0.39140264161225,2.69843475055254,1.17349228701978,0.364757446155145
"富邦悍將",TRUE,FALSE,2.93452306110433,1.02844189830406,-1.60048408001472,-1.48862138007571,-0.0455709030898587,0.741787097635927
"台鋼雄鷹",TRUE,TRUE,-0.798523694980681,1.05426870784695,0.713843226060772,-1.3413954237875,1.91964239915192,0.75517812290484
"統一7-ELEVEn獅",FALSE,FALSE,1.11792829663885,0.177696808079306,1.90737269897476,0.110890573813133,0.811244713364439,-0.516963252947614
"富邦悍將",TRUE,TRUE,-0.776939041823538,-0.870306403728616,1.8028889092231,-1.45892076802192,-0.0367415891301719,0.511399313844739
"樂天桃猿",FALSE,FALSE,-1.39284262082479,-0.107087802223386,1.01786339666078,-1.57287520972041,-2.83367807306811,-0.645662626433261
"味全龍",FALSE,TRUE,-2.86766266416322,-0.24415504302881,0.27114127075559,1.11337658930174,1.13479980996086,-0.323557108566922
"統一7-ELEVEn獅",TRUE,FALSE,0.58996908664953,0.305792864167388,-1.27617388136755,-2.09296047980776,0.0848456135487363,0.850482355495602
"富邦悍將",FALSE,TRUE,-0.910215169847219,1.20495929576697,0.33481097215223,-1.59545842824903,-0.587623978031957,-0.893859310903802
"樂天桃猿",TRUE,FALSE,-1.36061686592002,-0.0515694574474911,1.39952072009052,0.478518764211335,0.803646621059496,0.395690601796313
"中信兄弟",TRUE,FALSE,1.72447966084211,1.44701455156155,1.40996287752549,-2.54965377466712,0.141211959388997,-1.02506132944893
"樂天桃猿",FALSE,TRUE,-2.35266408307418,-1.62717117790538,-0.579988475546607,1.86738410147161,0.90573675884424,-0.254455929872538
"味全龍",FALSE,TRUE,1.32891694318765,-2.76475320318613,-1.58144254663163,-0.174947950843401,0.272264594159643,-0.0987121473593119
