season,date,stadium,awayTeam,homeTeam,awayScores,homeScores,away_total_score,home_total_score,total_score,high_score,home_win,H,HR,2B,3B,BB,SO
中職2024年,2024-04-27 17:05:00,臺中市洲際棒球場,統一7-ELEVEn獅,中信兄弟,"['0', '0', '0', '0', '0', '0', '1', '1', '2', '0', '2', '0']","['0', '3', '1', '0', '0', '0', '0', '0', '0', '0', '2', '1']",6,7,13,1,1,20,2,1,1,7,19
中職2024年,2024-09-21 17:09:00,臺北大巨蛋,味全龍,中信兄弟,"['0', '1', '0', '0', '0', '0', '1', '0', '0']","['0', '0', '4', '0', '0', '0', '0', '0', '0']",2,4,6,0,1,14,0,2,0,4,8
中職2024年,2024-07-16 18:35:00,新北市立新莊棒球場,中信兄弟,富邦悍將,"['0', '0', '0', '0', '0', '2', '1', '0', '0']","['0', '1', '2', '4', '0', '2', '0', '0', '0']",3,9,12,1,1,20,2,1,2,10,14
中職2024年,2024-04-03 18:35:00,新北市立新莊棒球場,統一7-ELEVEn獅,富邦悍將,"['5', '3', '3', '0', '0', '0', '0', '0', '0']","['0', '2', '0', '0', '1', '0', '0', '0', '1']",11,4,15,1,0,25,2,3,2,9,15
中職2024年,2024-09-28 16:45:00,樂天桃園棒球場,中信兄弟,樂天桃猿,"['0', '0', '0', '0', '0', '0', '0', '0', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,13,0,2,0,3,13
中職2024年,2024-10-11 18:35:00,樂天桃園棒球場,統一7-ELEVEn獅,樂天桃猿,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","['2', '4', '0', '0', '0', '0', '0', '0', '0']",0,6,6,0,1,19,0,0,0,5,11
中職2024年,2024-04-07 13:54:00,澄清湖棒球場,富邦悍將,台鋼雄鷹,"['2', '0', '0', '3', '0', '0', '0', '0', '0']","['0', '0', '0', '6', '0', '0', '0', '0', '0']",5,6,11,1,1,12,1,4,0,10,14
中職2024年,2024-07-05 18:35:00,臺北市立天母棒球場,台鋼雄鷹,味全龍,"['2', '1', '0', '0', '0', '0', '0', '0', '3']","['0', '1', '0', '0', '0', '0', '0', '0', '0']",6,1,7,0,0,16,1,2,1,5,13
中職2024年,2024-09-03 18:36:00,臺東棒球村第一棒球場,中信兄弟,台鋼雄鷹,"['0', '0', '0', '1', '0', '7', '0', '0', '0']","['0', '0', '0', '1', '0', '0', '0', '0', '0']",8,1,9,0,0,21,0,3,0,7,13
中職2024年,2024-08-07 18:36:00,樂天桃園棒球場,台鋼雄鷹,樂天桃猿,"['0', '0', '0', '2', '0', '3', '0', '0', '0']","['1', '3', '0', '0', '2', '0', '2', '1', '0']",5,9,14,1,1,21,1,7,0,3,10
中職2024年,2024-04-28 14:05:00,樂天桃園棒球場,台鋼雄鷹,樂天桃猿,"['0', '2', '1', '0', '0', '0', '0', '0', '0']","['0', '0', '2', '1', '2', '0', '0', '0', '0']",3,5,8,0,1,17,0,2,0,8,12
中職2024年,2024-05-25 17:05:00,臺北大巨蛋,台鋼雄鷹,富邦悍將,"['1', '0', '0', '1', '0', '0', '0', '1', '0']","['2', '0', '0', '0', '0', '0', '0', '0', '0']",3,2,5,0,0,11,0,1,1,10,14
中職2024年,2024-04-14 14:05:00,新北市立新莊棒球場,樂天桃猿,富邦悍將,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","['3', '0', '0', '0', '1', '0', '1', '2', '0']",0,7,7,0,1,16,1,5,1,8,14
中職2024年,2024-06-05 18:30:00,臺南市立棒球場,台鋼雄鷹,統一7-ELEVEn獅,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '3', '1', '0', '0', '1', '0', '1', '0']",0,6,6,0,1,16,1,0,0,6,14
中職2024年,2024-08-18 17:05:00,臺中市洲際棒球場,台鋼雄鷹,中信兄弟,"['0', '0', '0', '2', '2', '0', '0', '0', '0']","['2', '0', '1', '0', '2', '0', '0', '2', '0']",4,7,11,1,1,19,4,1,0,6,10
中職2024年,2024-08-27 18:35:00,臺中市洲際棒球場,味全龍,中信兄弟,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '1', '0', '0', '0', '0', '0', '0']",0,1,1,0,1,7,1,1,0,1,19
中職2024年,2024-04-10 18:30:00,臺南市立棒球場,中信兄弟,統一7-ELEVEn獅,"['4', '0', '0', '0', '1', '8', '1', '0', '0']","['0', '0', '1', '0', '2', '0', '0', '4', '0']",14,7,21,1,0,24,3,3,1,8,13
中職2024年,2024-06-13 18:35:00,新北市立新莊棒球場,味全龍,富邦悍將,"['2', '1', '1', '0', '0', '0', '0', '0', '0', '1']","['0', '1', '0', '0', '0', '1', '0', '2', '0', '2']",5,6,11,1,1,19,3,2,0,6,16
中職2024年,2024-08-29 18:36:00,澄清湖棒球場,統一7-ELEVEn獅,台鋼雄鷹,"['3', '0', '0', '0', '5', '0', '3', '0', '0']","['0', '0', '0', '0', '0', '2', '0', '0', '0']",11,2,13,1,0,24,0,6,1,5,13
中職2024年,2024-05-04 16:58:00,臺南市立棒球場,樂天桃猿,統一7-ELEVEn獅,"['2', '0', '1', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0']",3,0,3,0,0,9,1,2,0,3,18
